               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.052704,            0.012144,                   0,             0.69423,             0.40964,             0.44139,             0.21324,            0.059033,           0.0096245,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.053585,            0.012234,                   0,             0.65003,             0.32289,             0.35745,             0.17511,            0.063539,            0.011532,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.052155,            0.012023,                   0,             0.69465,             0.34217,             0.39908,             0.20337,            0.054367,           0.0088756,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.051763,            0.011916,                   0,             0.68127,             0.36386,             0.41792,              0.2151,            0.059261,            0.010186,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.052074,            0.011593,                   0,             0.69873,             0.30602,             0.36344,             0.18723,             0.06013,            0.010654,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.051543,            0.012153,                   0,             0.73561,                 0.4,             0.45817,             0.22249,            0.055741,            0.010006,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.051758,            0.011726,                   0,              0.7167,             0.43281,             0.47888,             0.24869,            0.051776,            0.008976,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.051413,            0.011777,                   0,             0.70336,             0.38554,             0.45147,             0.24042,            0.052312,           0.0094054,                   0,            0.007888,            0.007888,            0.007888
                  66,              0.0522,            0.011329,                   0,             0.69557,             0.42892,             0.46244,             0.23239,            0.055752,           0.0094476,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.051348,            0.011728,                   0,             0.66367,             0.38039,             0.41999,             0.22545,            0.054689,            0.010297,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.051093,            0.011793,                   0,             0.58595,             0.32289,             0.36611,             0.18953,            0.059867,            0.010614,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.050646,            0.011842,                   0,              0.6797,             0.47711,              0.5039,             0.24262,            0.051293,           0.0088551,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.051398,            0.012056,                   0,             0.70859,             0.35663,             0.41684,             0.22529,            0.052849,           0.0096457,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.050814,            0.011832,                   0,             0.64754,             0.33253,             0.38654,             0.20713,            0.057541,            0.011696,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.050614,            0.011532,                   0,             0.73068,             0.38554,             0.44637,             0.22991,            0.054728,            0.009938,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.051388,            0.011346,                   0,             0.66342,             0.35904,              0.4098,             0.21269,            0.056123,            0.011435,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.049214,            0.011707,                   0,             0.78243,             0.30361,             0.39499,             0.21131,            0.056833,            0.009829,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.049906,            0.012055,                   0,             0.67853,              0.4506,             0.48416,             0.24301,             0.05249,           0.0097635,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.050652,            0.011682,                   0,              0.7215,             0.44578,             0.50302,             0.25979,            0.051003,           0.0094419,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.050709,            0.011773,                   0,             0.69661,             0.35422,             0.41951,             0.21655,            0.056022,            0.010341,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.049542,            0.011642,                   0,             0.69051,             0.36386,             0.43234,             0.22659,            0.054347,           0.0095067,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.049487,            0.011536,                   0,             0.70243,             0.41928,             0.46499,             0.22272,            0.057984,            0.011204,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.050054,            0.011572,                   0,             0.80513,             0.38313,             0.44221,             0.22337,            0.058809,            0.011005,                   0,            0.007393,            0.007393,            0.007393
